code_1,code_3,code_7,code_8,code_10,code_11,code_12,code_13,code_14,code_15,code_16,code_17,code_18,code_19,code_20
202.3852780961928,688.5631757189798,700.3627373884286,338.11472163625,-129.28422260000002,-115.91710000000003,-396.40068949000005,-322.43689779906265,-52.007215082577424,0,-13.836047998500005,-555.2501168500002,-175.6272522750644,-3289.8630008194264,0
362.07166200384125,867.1712593470069,731.4339501274974,1144.8690626969574,-89.11032000000002,-363.89925,-285.64570125000006,-476.3165413056397,-244.58731841408496,-13.225805519361204,-248.44185687419517,-1586.629316647692,-502.73280402549767,-3428.8605484573295,0
307.8718969551696,1276.6226949887039,961.6552447806264,1220.0541488203316,-303.5413098250001,-421.46445250000005,-557.4364614000002,-181.8872999655013,-290.6212709495457,-224.59070997565246,-550.3323529920623,-697.7802172250001,-439.199869472683,-4080.0507413198793,-41.35754755470002
229.7171114283442,2000.0412430860374,755.6502446020371,940.0980032242503,-263.44166582500003,-441.75079000000017,-446.41557025000014,-264.82887094676073,-38.52386302413142,-35.75927167297286,-316.7346957201751,-1595.4960331430111,-663.3909695264476,-1727.11802473441,0
350.7692268068256,1789.6440257458999,1033.0765402967888,2192.6105339379155,-350.7419324500001,-323.12821125,-487.16201379625016,-347.91858233636134,-164.00158830273094,-97.20967056730484,-282.7763484237146,-617.9119637352345,-704.5044038719938,-2123.1191902177397,0
284.47383479027576,2046.930297143162,500.1596026900154,1042.6034010070773,-239.67891382499997,-480.2010362500001,-802.5755244000002,-253.69007848224487,-310.9563672172837,-58.325802340382914,-413.88290615100016,-1498.9186960750621,-907.6656125835028,-2009.860489889292,0
841.448355774159,2892.424850489726,439.4104737504916,1149.8196760061703,-88.18208750000001,-419.5678500000001,-501.6761070750002,-317.2378699136884,-28.892897268098565,-145.48386071297324,-250.7196151261473,-1103.0186797500003,-622.6592238974453,-3641.83398606615,0
474.1308553214292,1755.0025399970255,1249.0258946457573,456.5639719737137,-382.4671280500001,-395.317195,-220.03751412500006,-289.60438284082835,-139.82786425508843,-74.7258011843908,-281.71768253198013,-1062.6488160280512,-487.6891621217054,-3026.6559225305828,0
461.3948262809282,2154.9462174602013,1082.3058144693305,1507.5366667731505,-422.7820567750001,-546.5037500000001,-539.0152984750001,-159.57536609553995,0,-313.8814294882398,-586.8368032050115,-926.4748586940602,-684.6381036836544,-4448.89762596885,0
447.3963836519733,1401.6990090238432,863.7294350069733,1837.640241895553,-312.24949482500006,-551.4005250000001,-508.6464191250001,-702.2633555896216,-165.10227010342038,-66.12902759680603,-533.3100767840176,-1153.9705917207798,-1237.9130210144249,-4047.298159859247,-14.475141644145006
256.67512384021705,933.0308529709619,760.6574801435272,192.57120727325005,-151.32046215000003,-362.32332500000007,-400.41950780000013,-143.0245331843355,-79.52426009981416,-194.07216373972648,-114.63358632050003,-509.53652269000014,-726.2515255722642,-1653.363008905446,0
518.3746849803828,1476.2997095192695,534.9842531487764,766.3177304698503,-199.31054651625,-569.9482750000001,-341.9197965625001,-189.47701001662114,-34.12113582137354,-428.1358569186215,-220.83199501996697,-639.0496986219705,-819.6452904991804,-3131.0097355942835,0
322.11240533812037,1464.3720007372276,641.3955003369142,443.0963322142501,-360.2563155750001,-295.22187500000007,-394.8597521375001,-299.161153015404,-170.55890013033843,-27.77419159065853,-142.35284920957292,-658.3269206581319,-1128.0854343009942,-2266.3910933750494,-44.14918201464227
424.94372216240424,1439.2059113263372,675.7656764424079,954.4142567123192,-235.17698620000004,-228.9371175,-349.0225602500001,-200.2329510682452,-185.28602262356355,-110.20402449007724,-514.8674190595001,-678.8046787147293,-448.90274536423624,-1977.0517070976462,-130.27627479730506
397.3251578343428,1547.9172373414692,1360.7036525975593,1828.7212851105842,-272.51049735000004,-501.790575,-250.41285165000005,-172.3110328883599,-219.33836583239398,-55.54838318131706,-307.5106290659001,-973.2264709616968,-968.1907927549004,-2729.987218228729,0
336.8851262949881,1524.7320107530857,978.7043365646203,778.654389566557,-199.65352842500005,-426.98610500000007,-344.56204607500007,-371.2725368802124,-303.5130065401211,-65.61652763293078,-318.3945241909185,-418.2303758880001,-818.9796721339893,-2230.807417092572,-28.950283288290013
211.77933904788378,1747.2725907939823,1724.0590253246075,794.9594729880703,-238.89919852500003,-521.5847,-497.31448536250025,-210.87278626858034,-230.31766679427145,-336.74554077983544,-366.5746728182501,-797.767307902672,-2200.0067887977375,-2100.6652967901373,0
