MCSFOpen,MCSFHigh,MCSFLow,MCSFClose,MCSFVolume
4.225,4.3469,4.2174,4.3469,91664379.0
4.3632,4.5337,4.3553,4.4927,153896855.0
4.5009,4.5091,4.3875,4.3875,107507251.0
4.4037,4.5496,4.4037,4.5415,130111660.0
4.5496,4.6146,4.4604,4.5496,116555610.0
4.4684,4.7117,4.4604,4.7117,123556824.0
4.8986,4.9713,4.8414,4.9552,214156947.0
4.8658,4.8742,4.6066,4.6308,398028807.0
4.4118,4.4927,4.0224,4.2983,419287500.0
4.3307,4.4281,4.2739,4.3712,244415618.0
4.2739,4.3632,4.1766,4.1848,232609871.0
4.209,4.2657,4.1928,4.2578,130298558.0
4.3469,4.4361,4.3225,4.3793,150378658.0
4.4361,4.4604,4.3142,4.3632,106467190.0
4.3875,4.4361,4.3793,4.3875,72723294.0
4.3632,4.3632,4.1848,4.209,217782890.0
4.2336,4.2495,4.0956,4.12,139401891.0
4.1281,4.1358,3.9982,4.0711,228330874.0
4.1358,4.209,3.9982,4.0468,178390091.0
3.9982,4.1522,3.9818,4.1444,156031961.0
4.1522,4.2657,4.1522,4.2657,106790422.0
4.2983,4.3469,4.1766,4.2578,88330887.0
4.2821,4.3142,4.2495,4.2495,60350243.0
4.4442,4.4604,4.3632,4.3875,198426223.0
4.4118,4.42,4.2657,4.2821,98788724.0
4.3064,4.3956,4.1928,4.3875,133574881.0
4.4037,4.5173,4.3553,4.4927,122136348.0
4.5173,4.5173,4.4037,4.4768,86947801.0
4.4768,4.4927,4.42,4.4927,52385928.0
4.4927,4.5822,4.4847,4.5091,102474029.0
4.5337,4.5337,4.4118,4.42,106511163.0
4.4361,4.4684,4.29,4.2983,151847515.0
4.3225,4.5173,4.29,4.5173,129623505.0
4.5496,4.5741,4.4361,4.4526,152806215.0
4.4604,4.4604,4.3469,4.3712,130936231.0
4.3793,4.4037,4.29,4.29,100996393.0
4.29,4.29,4.0872,4.0956,154776400.0
4.0956,4.1766,3.9576,4.1766,225287626.0
4.225,4.2657,4.16,4.2415,109255356.0
4.2495,4.2739,4.16,4.209,53274268.0
4.1766,4.1848,4.063,4.0794,110304219.0
4.1358,4.3225,4.1039,4.3225,126507703.0
4.3307,4.3875,4.2336,4.2495,137794514.0
4.29,4.3956,4.2415,4.3064,129091380.0
4.2657,4.3469,4.2415,4.3469,88528788.0
4.3387,4.4526,4.3225,4.4361,106381430.0
4.4442,4.4442,4.3469,4.3793,97788240.0
4.3712,4.4118,4.3225,4.3712,84117849.0
4.3712,4.3875,4.3064,4.3142,74528567.0
4.3064,4.3387,4.209,4.2495,121373341.0
4.2415,4.2495,4.1358,4.1848,105583235.0
4.1848,4.2983,4.16,4.2415,79724503.0
4.2495,4.3064,4.209,4.2336,61366119.0
4.1522,4.2336,4.12,4.12,115216498.0
4.0872,4.1281,4.0468,4.0794,137290977.0
4.12,4.12,4.0224,4.1039,79541998.0
4.1114,4.1766,4.0061,4.0148,105200631.0
3.9982,4.0389,3.7954,4.0307,193441368.0
4.0468,4.16,4.0389,4.16,145002420.0
4.1686,4.2174,4.0956,4.12,130775718.0
4.0061,4.0061,3.8848,3.9174,100974405.0
3.909,3.9818,3.8684,3.9818,139201793.0
3.9818,4.0468,3.8848,3.909,105292982.0
3.8603,3.9010000000000002,3.7635,3.779,149268222.0
3.6984,3.8279,3.6575,3.8116,216650466.0
3.909,3.9739,3.8684,3.9413,147062762.0
3.9576,4.0061,3.9413,3.9818,108158118.0
4.0224,4.0389,3.909,3.9252,94338205.0
3.9010000000000002,3.9739,3.8848,3.9413,83924351.0
3.9657,4.16,3.9413,4.1444,169231793.0
4.4684,4.4847,4.3142,4.3469,404495719.0
4.3307,4.4118,4.3064,4.4037,131712435.0
4.3875,4.4037,4.3142,4.3469,109921610.0
4.3225,4.42,4.2983,4.3793,128460306.0
4.3793,4.4604,4.3793,4.4361,94388779.0
4.4361,4.4442,4.3632,4.3632,82747954.0
4.3553,4.4604,4.3387,4.4604,113848798.0
4.4361,4.5578,4.4281,4.5496,179597265.0
4.5173,4.7038,4.4768,4.6715,172424548.0
4.6878,4.7038,4.5337,4.5496,126377975.0
4.5496,4.5903,4.4684,4.4768,100075068.0
4.4847,4.5658,4.4684,4.5496,87273229.0
4.5496,4.5496,4.4927,4.5249,55844753.0
4.4118,4.4927,4.4037,4.4281,120566350.0
4.3875,4.4281,4.225,4.2336,159310476.0
4.2657,4.3469,4.2495,4.3307,97959753.0
4.3875,4.5009,4.3632,4.5009,137174437.0
4.4768,4.5009,4.3956,4.4037,83583521.0
4.3956,4.42,4.3712,4.3793,81087806.0
4.3632,4.3632,4.2657,4.2739,103975856.0
4.29,4.3064,4.1766,4.2739,149367175.0
4.12,4.1766,4.0794,4.0872,268161243.0
4.0956,4.12,3.9739,3.9739,197628032.0
4.0224,4.063,3.9010000000000002,3.909,158450717.0
3.909,4.0389,3.8279,3.9982,178882646.0
4.0224,4.0711,3.9657,3.9739,89918478.0
4.0307,4.0711,3.9657,3.9657,108707840.0
3.9576,4.16,3.9333,4.16,118928195.0
4.1766,4.209,4.055,4.0794,125153203.0
4.0711,4.0794,3.9494,3.9657,128513070.0
3.9657,3.9982,3.909,3.9252,132103839.0
3.9174,4.0794,3.8768,3.9982,179258640.0
3.9982,4.0061,3.8684,3.909,143652310.0
3.9174,4.1358,3.909,4.12,199646576.0
4.1444,4.1848,4.0389,4.12,182611928.0
4.209,4.3064,4.1928,4.2983,202078545.0
4.2983,4.3064,4.2336,4.2336,85102943.0
4.2336,4.2336,4.1444,4.1522,61484858.0
4.1444,4.1928,4.12,4.1766,54391299.0
4.1928,4.2495,4.0307,4.0389,127565361.0
4.055,4.0794,3.9657,4.0224,158690397.0
4.0224,4.0468,3.8848,3.9576,136688483.0
3.9739,4.1358,3.9739,4.1358,115909139.0
4.1444,4.1522,3.9576,3.9657,116788688.0
3.9903,4.0956,3.9739,4.0956,83273481.0
4.0956,4.1358,4.055,4.12,49553782.0
4.1039,4.1522,4.0872,4.1039,47697933.0
4.1114,4.12,4.0224,4.0389,55712817.0
4.0148,4.0224,3.9657,3.9739,68409107.0
3.9657,4.0389,3.9252,3.9903,71933899.0
3.9982,4.0794,3.9739,4.0794,79405667.0
4.055,4.0956,3.9413,3.9494,86384885.0
3.9657,3.9818,3.8603,3.9739,140664041.0
3.9252,3.9818,3.9174,3.9252,85320633.0
3.909,3.909,3.6331,3.6495,243832923.0
3.6575,3.7874,3.6575,3.7469,249532397.0
3.7954,3.9494,3.779,3.9413,160266990.0
3.9333,3.9494,3.8116,3.9010000000000002,110691219.0
3.909,3.909,3.7224,3.7546,116227978.0
3.8034,3.9333,3.7874,3.9252,167672792.0
3.8524,3.9818,3.8524,3.8603,196631933.0
3.8848,4.0389,3.8684,3.9818,166744860.0
4.1039,4.2415,4.0794,4.1766,312569651.0
4.1686,4.2174,4.1358,4.1848,113576144.0
4.1522,4.1766,4.055,4.0711,91354341.0
4.0872,4.209,4.0711,4.1522,126734191.0
4.1522,4.1686,4.0468,4.063,82294983.0
4.055,4.1358,4.0468,4.12,69926333.0
4.1281,4.1522,4.063,4.1114,54404492.0
4.1358,4.1522,4.12,4.1281,62008188.0
4.1281,4.209,4.0956,4.209,94516315.0
4.1928,4.29,4.1848,4.2821,108001995.0
4.2739,4.2821,4.1928,4.2336,61412297.0
4.2174,4.42,4.2174,4.42,173820828.0
4.3875,4.4361,4.3469,4.3875,134898602.0
4.3632,4.42,4.3387,4.4037,90092182.0
4.3956,4.5249,4.3469,4.4927,142823335.0
4.4927,4.5578,4.4768,4.5496,168807401.0
4.5337,4.5984,4.5091,4.5249,120634524.0
4.4442,4.5578,4.4361,4.5337,157375476.0
4.5496,4.5496,4.4768,4.4927,110236052.0
4.4768,4.5091,4.4442,4.4768,71731603.0
4.4927,4.5173,4.4526,4.4526,85489950.0
4.3632,4.4281,4.3469,4.3793,99725443.0
4.3632,4.4684,4.3553,4.4604,78842753.0
4.4684,4.4927,4.4118,4.4118,60820796.0
4.3469,4.4361,4.3064,4.3225,149145098.0
4.3225,4.3956,4.3225,4.3875,102511415.0
4.3793,4.3956,4.3064,4.3553,105666796.0
4.4684,4.5903,4.4442,4.5903,215366331.0
4.5984,4.6308,4.5337,4.5337,83337251.0
4.5496,4.6878,4.5337,4.6551,167281389.0
4.6551,4.8174,4.6551,4.7848,164189775.0
4.8414,4.8658,4.7604,4.8578,127110197.0
4.8337,4.8498,4.7202,4.7604,127732476.0
4.7444,4.7444,4.5741,4.5822,91134447.0
4.5984,4.6146,4.5337,4.5984,66029930.0
4.6146,4.6551,4.4927,4.5415,87101717.0
4.5173,4.6793,4.4927,4.6715,109805074.0
4.6955,4.7281,4.5984,4.6631,72466028.0
4.6308,4.7038,4.5984,4.6467,75524659.0
4.6551,4.736000000000001,4.6467,4.6878,73536877.0
4.6878,4.7038,4.6467,4.6715,43555256.0
4.6715,4.7767,4.6631,4.7604,74757250.0
4.736000000000001,4.7848,4.7038,4.7522,63316521.0
4.7604,4.769,4.7038,4.7444,39801782.0
4.6631,4.7281,4.6308,4.7202,101359209.0
4.7281,4.7281,4.6146,4.6225,91998608.0
4.6146,4.6878,4.6066,4.6225,71340205.0
4.6146,4.6551,4.5337,4.5984,85846167.0
4.5984,4.6225,4.5741,4.5984,46365415.0
4.5903,4.7117,4.5903,4.7038,68855478.0
4.7444,4.8009,4.7281,4.7848,110104125.0
4.7848,4.8174,4.7444,4.8174,86072642.0
4.8174,4.9713,4.8009,4.9552,184098368.0
5.077,5.1013,4.9792,4.9877,232933104.0
5.0282,5.1577,5.0118,5.1255,127477410.0
5.1255,5.1498,5.0687,5.1255,78526114.0
5.1418,5.1418,5.0605,5.0687,95171577.0
5.0687,5.1741,5.0118,5.1255,87811956.0
5.1255,5.1821,5.1091,5.1577,74618726.0
5.1577,5.1577,5.0931,5.1255,47093246.0
5.1255,5.1498,5.0847,5.1498,39087149.0
5.2388,5.2388,5.0526,5.077,120032032.0
5.1176,5.2066,5.0118,5.0442,103485514.0
5.0442,5.1091,4.9877,5.0847,104244122.0
5.077,5.1577,5.077,5.1418,65095412.0
5.1336,5.1985,5.0365,5.1985,106990526.0
5.1985,5.2388,5.1498,5.1577,65658318.0
5.1985,5.2388,5.1904,5.2227,60350243.0
5.231,5.4095,5.231,5.3931,131391398.0
5.4255,5.457999999999999,5.3768,5.4095,105589832.0
5.4095,5.4499,5.3361,5.3527,77404689.0
5.2713,5.3361,5.2553,5.3284,92205296.0
5.3604,5.3689,5.2956,5.3201,48639048.0
5.3361,5.3604,5.303999999999999,5.3118,52852089.0
5.3118,5.3118,5.2388,5.2388,57876508.0
5.231,5.3361,5.2146,5.3118,62731620.0
5.3118,5.4173,5.3118,5.3931,71430358.0
5.3931,5.4095,5.3768,5.3931,36340759.0
5.401,5.4173,5.3284,5.3361,59611421.0
5.3361,5.3768,5.303999999999999,5.3284,46134533.0
5.3361,5.3768,5.303999999999999,5.3768,46484151.0
5.3931,5.4255,5.3689,5.401,55328022.0
5.401,5.4339,5.3689,5.3851,43544262.0
5.3931,5.4095,5.2879,5.3604,90501171.0
5.3689,5.5143,5.3604,5.4985,70045070.0
5.539,5.5961,5.4499,5.4499,121124866.0
5.3527,5.5143,5.3527,5.5143,96473310.0
5.5067,5.5143,5.457999999999999,5.4823,62969095.0
5.4903,5.6036,5.4823,5.5551,89685389.0
5.5878,5.7013,5.5797,5.6851,122098961.0
5.693,5.7256,5.6283,5.6685,86000080.0
5.6769,5.6851,5.5878,5.5961,76883558.0
5.5961,5.6851,5.5636,5.6685,79020867.0
5.6610000000000005,5.6610000000000005,5.5472,5.5636,102502621.0
5.5714,5.5961,5.5232,5.539,100886454.0
5.5472,5.5714,5.4095,5.539,140492528.0
5.5636,5.6441,5.5232,5.6366,78068755.0
5.6366,5.693,5.5961,5.6441,66106889.0
5.6528,5.6528,5.5232,5.5472,56546196.0
5.539,5.5472,5.4095,5.4823,98203826.0
5.4823,5.5067,5.4095,5.457999999999999,106621107.0
5.4823,5.5067,5.4173,5.4662,71463348.0
5.4662,5.5714,5.4662,5.5636,65777054.0
5.5636,5.5797,5.5143,5.5308,52977427.0
5.5308,5.5878,5.4823,5.5067,60803210.0
5.3931,5.4903,5.3689,5.4742,88548580.0
5.4985,5.5232,5.457999999999999,5.457999999999999,48885324.0
5.457999999999999,5.457999999999999,5.3689,5.4339,107168621.0
5.3768,5.3851,5.1741,5.2066,193659059.0
5.2388,5.2388,5.0282,5.1091,191684466.0
5.1091,5.1741,4.9956,5.0282,153690165.0
5.0118,5.2553,4.8903,5.2472,250260216.0
5.3527,5.3689,5.2553,5.3284,173447024.0
5.3361,5.457999999999999,5.2713,5.4499,135419734.0
5.3527,5.5308,5.3527,5.4985,136341066.0
5.5067,5.5232,5.3604,5.4499,198551541.0
5.457999999999999,5.457999999999999,5.0118,5.1013,354126127.0
4.9792,5.2634,4.9792,5.2146,264174694.0
5.2713,5.401,5.2388,5.3931,138693850.0
5.4339,5.4339,5.3768,5.4173,81501196.0
5.4255,5.4499,5.3118,5.3118,77989594.0
5.3604,5.401,5.2796,5.3931,92044785.0
5.4095,5.4418,5.3527,5.3604,77400293.0
5.3604,5.4985,5.3361,5.4823,131967502.0
5.5551,5.6366,5.4823,5.6124,150196157.0
5.6202,5.6283,5.5143,5.539,75685177.0
