DJIOpen,DJIHigh,DJILow,DJIClose,DJIVolume
4083.7,4122.4,4046.7,4072.6,82806767.0
4072.6,4107.5,4039.1,4083.0,70628571.0
4083.0,4107.9,4046.3,4087.8,71839850.0
4087.8,4155.3,4087.1,4138.7,80835338.0
4138.7,4177.4,4113.1,4157.3,66803008.0
4157.3,4176.0,4120.7,4151.8,72261654.0
4151.8,4213.7,4121.7,4160.8,87047368.0
4160.8,4213.4,4128.3,4172.6,81658647.0
4172.6,4194.0,4100.3,4157.7,79610526.0
4157.7,4202.3,4129.7,4168.4,64822556.0
4168.4,4221.0,4154.2,4201.6,74560150.0
4201.6,4229.6,4166.3,4200.6,71090977.0
4200.6,4239.3,4179.1,4205.4,72284211.0
4205.4,4226.9,4154.2,4192.6,70996241.0
4192.6,4219.9,4163.9,4198.2,58867669.0
4198.2,4230.0,4168.1,4187.1,69859398.0
4187.1,4221.7,4163.6,4197.8,73957895.0
4197.8,4243.5,4173.9,4208.2,68009774.0
4208.2,4260.1,4174.6,4195.4,75322556.0
4195.4,4221.7,4152.2,4179.1,77747368.0
4179.1,4232.4,4143.5,4207.5,85154887.0
4207.5,4263.9,4186.4,4230.7,83106767.0
4230.7,4296.4,4214.4,4270.1,90949624.0
4270.1,4328.9,4239.7,4304.0,73479699.0
4304.0,4337.2,4267.3,4300.2,79351128.0
4300.2,4324.7,4267.3,4299.8,79125564.0
4299.8,4335.1,4269.1,4314.7,79139098.0
4314.7,4348.9,4270.8,4321.3,72241353.0
4316.1,4348.3,4288.4,4328.9,67818045.0
4328.9,4392.5,4312.3,4373.2,88486466.0
4373.2,4426.4,4329.9,4359.7,98102256.0
4359.7,4389.8,4310.6,4343.4,77228571.0
4343.4,4407.0,4316.4,4383.9,65821805.0
4383.9,4421.2,4360.0,4390.8,81525564.0
4390.8,4440.2,4347.6,4404.6,86163158.0
4404.6,4446.1,4365.2,4411.2,76669173.0
4411.2,4463.1,4371.1,4430.6,81428571.0
4430.6,4468.9,4398.7,4437.5,71332331.0
4437.5,4464.1,4408.1,4435.1,82596992.0
4435.1,4452.7,4386.6,4422.6,78480451.0
4422.6,4426.4,4331.0,4340.6,79364662.0
4340.6,4368.7,4287.4,4341.3,79851880.0
4341.3,4416.0,4337.9,4395.6,64421053.0
4395.6,4451.7,4372.5,4436.4,81809774.0
4436.4,4480.7,4390.8,4438.2,88364662.0
4427.4,4451.3,4375.9,4412.2,77102256.0
4412.2,4423.6,4338.9,4369.0,65578195.0
4369.0,4412.9,4334.4,4378.7,63839098.0
4378.7,4467.9,4360.7,4465.1,80787970.0
4465.1,4499.7,4421.6,4472.8,78020301.0
4472.8,4496.3,4406.4,4444.4,82556391.0
4444.4,4510.5,4417.8,4476.6,76132331.0
4476.6,4520.5,4446.5,4485.2,76797744.0
4485.2,4497.7,4432.3,4462.0,73937594.0
4462.0,4492.1,4431.6,4458.6,65386466.0
4458.6,4466.9,4394.6,4424.0,74201504.0
4424.0,4482.1,4415.7,4446.5,64924060.0
4446.5,4504.9,4440.2,4484.5,76606015.0
4484.5,4510.8,4449.2,4491.1,74605263.0
4491.1,4527.7,4466.9,4496.3,75482707.0
4496.3,4534.0,4482.4,4510.8,99866165.0
4510.8,4577.2,4498.7,4553.7,72771429.0
4553.7,4587.2,4498.0,4550.6,86230827.0
4550.6,4583.1,4517.0,4547.1,89821805.0
4547.1,4614.2,4535.4,4589.6,94951128.0
4589.6,4609.7,4549.2,4585.8,72525564.0
4585.8,4600.0,4536.4,4551.3,66929323.0
4551.3,4592.4,4511.5,4542.6,78259398.0
4542.6,4587.2,4512.9,4556.8,83021053.0
4556.8,4592.8,4510.5,4550.6,70615038.0
4550.6,4606.2,4513.9,4556.1,70222556.0
4585.2,4652.2,4561.6,4615.2,80709023.0
4615.2,4682.0,4587.9,4664.0,94842857.0
4664.0,4740.8,4628.4,4702.7,105234586.0
4702.7,4747.7,4670.9,4702.4,92413534.0
4702.4,4724.5,4647.7,4680.6,84985714.0
4680.6,4747.0,4654.7,4727.3,93834586.0
4727.3,4766.6,4676.1,4727.5,87399248.0
4727.5,4737.0,4664.8,4708.8,70585714.0
4708.8,4767.6,4681.4,4736.3,72753383.0
4734.5,4734.5,4648.2,4686.3,83961654.0
4686.3,4698.6,4530.3,4628.9,110492487.0
4628.9,4684.5,4578.5,4641.6,86476692.0
4641.6,4676.1,4596.8,4641.6,96489474.0
4641.6,4701.4,4620.4,4668.7,71090977.0
4668.7,4743.7,4651.8,4714.5,84182707.0
4714.5,4750.7,4665.2,4707.1,88750376.0
4707.1,4768.0,4691.6,4732.8,80429323.0
4732.8,4762.7,4686.3,4715.5,70281203.0
4715.5,4753.6,4671.1,4708.5,65853383.0
4708.5,4743.0,4648.6,4700.4,75512030.0
4700.4,4772.6,4668.0,4690.2,84430827.0
4690.2,4720.4,4632.0,4701.4,79648872.0
4701.4,4728.5,4660.6,4683.5,70991729.0
4683.5,4727.8,4667.3,4693.3,62264662.0
4693.3,4722.6,4654.2,4693.3,68830827.0
4693.3,4712.3,4649.3,4671.5,68433835.0
4671.5,4699.0,4621.5,4643.7,69171429.0
4643.7,4659.5,4584.9,4618.3,60417293.0
4618.3,4677.1,4601.8,4659.9,59492481.0
4659.9,4672.9,4602.1,4640.8,74445113.0
4640.8,4673.6,4593.3,4639.1,87985714.0
4639.1,4659.2,4587.7,4630.6,79953383.0
4630.6,4665.2,4597.9,4617.6,70382707.0
4617.6,4676.4,4593.7,4614.8,68390977.0
4614.8,4646.1,4580.6,4620.4,65492481.0
4620.4,4636.3,4571.8,4584.9,65724812.0
4584.9,4618.3,4552.8,4580.6,67488722.0
